model,run_id,final_cash,current_day,day,group_id,count
Claude Opus 4.8,e2cbe2de,2398869,504,0,S1,0
Claude Opus 4.8,e2cbe2de,2398869,504,0,S2,0
Claude Opus 4.8,e2cbe2de,2398869,504,0,S3,0
Claude Opus 4.8,e2cbe2de,2398869,504,1,S1,8
Claude Opus 4.8,e2cbe2de,2398869,504,1,S2,0
Claude Opus 4.8,e2cbe2de,2398869,504,1,S3,0
Claude Opus 4.8,e2cbe2de,2398869,504,2,S1,17
Claude Opus 4.8,e2cbe2de,2398869,504,2,S2,1
Claude Opus 4.8,e2cbe2de,2398869,504,2,S3,0
Claude Opus 4.8,e2cbe2de,2398869,504,3,S1,24
Claude Opus 4.8,e2cbe2de,2398869,504,3,S2,1
Claude Opus 4.8,e2cbe2de,2398869,504,3,S3,0
Claude Opus 4.8,e2cbe2de,2398869,504,4,S1,37
Claude Opus 4.8,e2cbe2de,2398869,504,4,S2,1
Claude Opus 4.8,e2cbe2de,2398869,504,4,S3,0
Claude Opus 4.8,e2cbe2de,2398869,504,5,S1,45
Claude Opus 4.8,e2cbe2de,2398869,504,5,S2,2
Claude Opus 4.8,e2cbe2de,2398869,504,5,S3,0
Claude Opus 4.8,e2cbe2de,2398869,504,6,S1,55
Claude Opus 4.8,e2cbe2de,2398869,504,6,S2,2
Claude Opus 4.8,e2cbe2de,2398869,504,6,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,7,S1,62
Claude Opus 4.8,e2cbe2de,2398869,504,7,S2,2
Claude Opus 4.8,e2cbe2de,2398869,504,7,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,8,S1,90
Claude Opus 4.8,e2cbe2de,2398869,504,8,S2,3
Claude Opus 4.8,e2cbe2de,2398869,504,8,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,9,S1,125
Claude Opus 4.8,e2cbe2de,2398869,504,9,S2,3
Claude Opus 4.8,e2cbe2de,2398869,504,9,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,10,S1,182
Claude Opus 4.8,e2cbe2de,2398869,504,10,S2,4
Claude Opus 4.8,e2cbe2de,2398869,504,10,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,11,S1,227
Claude Opus 4.8,e2cbe2de,2398869,504,11,S2,6
Claude Opus 4.8,e2cbe2de,2398869,504,11,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,12,S1,242
Claude Opus 4.8,e2cbe2de,2398869,504,12,S2,8
Claude Opus 4.8,e2cbe2de,2398869,504,12,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,13,S1,264
Claude Opus 4.8,e2cbe2de,2398869,504,13,S2,11
Claude Opus 4.8,e2cbe2de,2398869,504,13,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,14,S1,307
Claude Opus 4.8,e2cbe2de,2398869,504,14,S2,13
Claude Opus 4.8,e2cbe2de,2398869,504,14,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,15,S1,377
Claude Opus 4.8,e2cbe2de,2398869,504,15,S2,16
Claude Opus 4.8,e2cbe2de,2398869,504,15,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,16,S1,461
Claude Opus 4.8,e2cbe2de,2398869,504,16,S2,19
Claude Opus 4.8,e2cbe2de,2398869,504,16,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,17,S1,526
Claude Opus 4.8,e2cbe2de,2398869,504,17,S2,22
Claude Opus 4.8,e2cbe2de,2398869,504,17,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,18,S1,584
Claude Opus 4.8,e2cbe2de,2398869,504,18,S2,27
Claude Opus 4.8,e2cbe2de,2398869,504,18,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,19,S1,623
Claude Opus 4.8,e2cbe2de,2398869,504,19,S2,30
Claude Opus 4.8,e2cbe2de,2398869,504,19,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,20,S1,662
Claude Opus 4.8,e2cbe2de,2398869,504,20,S2,32
Claude Opus 4.8,e2cbe2de,2398869,504,20,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,21,S1,727
Claude Opus 4.8,e2cbe2de,2398869,504,21,S2,37
Claude Opus 4.8,e2cbe2de,2398869,504,21,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,22,S1,846
Claude Opus 4.8,e2cbe2de,2398869,504,22,S2,37
Claude Opus 4.8,e2cbe2de,2398869,504,22,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,23,S1,953
Claude Opus 4.8,e2cbe2de,2398869,504,23,S2,37
Claude Opus 4.8,e2cbe2de,2398869,504,23,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,24,S1,1066
Claude Opus 4.8,e2cbe2de,2398869,504,24,S2,38
Claude Opus 4.8,e2cbe2de,2398869,504,24,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,25,S1,1165
Claude Opus 4.8,e2cbe2de,2398869,504,25,S2,38
Claude Opus 4.8,e2cbe2de,2398869,504,25,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,26,S1,1220
Claude Opus 4.8,e2cbe2de,2398869,504,26,S2,38
Claude Opus 4.8,e2cbe2de,2398869,504,26,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,27,S1,1299
Claude Opus 4.8,e2cbe2de,2398869,504,27,S2,38
Claude Opus 4.8,e2cbe2de,2398869,504,27,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,28,S1,1435
Claude Opus 4.8,e2cbe2de,2398869,504,28,S2,38
Claude Opus 4.8,e2cbe2de,2398869,504,28,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,29,S1,1692
Claude Opus 4.8,e2cbe2de,2398869,504,29,S2,52
Claude Opus 4.8,e2cbe2de,2398869,504,29,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,30,S1,2045
Claude Opus 4.8,e2cbe2de,2398869,504,30,S2,76
Claude Opus 4.8,e2cbe2de,2398869,504,30,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,31,S1,2342
Claude Opus 4.8,e2cbe2de,2398869,504,31,S2,88
Claude Opus 4.8,e2cbe2de,2398869,504,31,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,32,S1,2625
Claude Opus 4.8,e2cbe2de,2398869,504,32,S2,97
Claude Opus 4.8,e2cbe2de,2398869,504,32,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,33,S1,2767
Claude Opus 4.8,e2cbe2de,2398869,504,33,S2,104
Claude Opus 4.8,e2cbe2de,2398869,504,33,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,34,S1,2909
Claude Opus 4.8,e2cbe2de,2398869,504,34,S2,112
Claude Opus 4.8,e2cbe2de,2398869,504,34,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,35,S1,3174
Claude Opus 4.8,e2cbe2de,2398869,504,35,S2,127
Claude Opus 4.8,e2cbe2de,2398869,504,35,S3,1
Claude Opus 4.8,e2cbe2de,2398869,504,36,S1,3583
Claude Opus 4.8,e2cbe2de,2398869,504,36,S2,150
