day,cash
0,1000000.0
1,993615.0
2,987230.0
3,980845.0
4,974460.0
5,968075.0
6,961690.0
7,955305.0
8,948920.0
9,942535.0
10,936150.0
11,929765.0
12,923380.0
13,916995.0
14,910610.0
15,904225.0
16,897840.0
17,891455.0
18,885070.0
19,878685.0
20,872300.0
21,865915.0
22,861297.5
23,856625.5
24,852116.55
25,846941.75
26,841292.1
27,835150.29
28,830602.91
29,827103.41
30,823004.5
31,819619.52
32,816154.93
33,810579.31
34,805355.15
35,801312.07
36,798104.19
37,794235.22
38,790743.71
39,788016.89
40,782569.12
41,777996.12
42,774629.07
43,771676.65
44,769251.53
45,766250.0
46,763732.8
47,758403.33
48,753798.33
49,750927.64
50,749365.61
51,747023.01
52,748608.14
53,748913.83
54,747772.92
55,745985.39
56,745485.77
57,744996.96
58,746466.35
59,748896.51
60,751525.97
61,751455.98
62,751736.56
63,750783.04
64,750843.35
65,753363.65
66,755642.5
67,758262.3
68,758200.35
69,758319.82
70,757742.26
71,760474.81
72,763799.53
73,766766.76
74,767865.83
75,766897.6
76,766604.2
77,766530.03
78,766517.52
79,769362.98
80,771981.26
81,774219.11
82,777573.04
83,778871.3
84,781550.59
85,784367.88
86,787783.72
87,793270.16
88,799744.07
89,804248.12
90,808426.22
91,814117.54
92,821596.9
93,826521.43
94,832690.79
95,839824.07
96,844875.34
97,850114.76
98,857356.1
99,864883.32
100,872606.51
101,884888.78
102,896823.08
103,904837.53
104,912050.24
105,918942.75
106,930436.28
107,942548.89
108,954018.03
109,967995.83
110,978463.23
111,989263.7
112,1004277.23
113,1019285.2
114,1038019.75
115,1055827.94
116,1073108.03
117,1090181.72
118,1106348.35
119,1129030.08
120,1153125.39
121,1181104.1
122,1210611.4
123,1232966.18
124,1250941.17
125,1268564.04
126,1289991.78
127,1313472.65
128,1343943.11
129,1374036.79
130,1399417.55
131,1420345.35
132,1442556.78
133,1470072.55
134,1493317.66
135,1519983.34
136,1546388.67
137,1576547.97
138,1600089.0
139,1624044.34
140,1652989.04
141,1685252.6
142,1722857.11
143,1759593.48
144,1797113.97
145,1825711.16
146,1855903.05
147,1895911.21
148,1941848.45
149,1991225.11
150,2042533.21
151,2095833.81
152,2140530.48
153,2174841.71
154,2215624.28
155,2260455.99
156,2312684.94
157,2364596.23
158,2419470.52
159,2465074.21
160,2506887.63
161,2550101.69
162,2604032.52
163,2667461.11
164,2730887.35
165,2798277.33
166,2855763.32
167,2916256.56
168,2980886.11
169,3048164.7
170,3133012.59
171,3220598.62
172,3304526.8
173,3371980.05
174,3439794.55
175,3516800.23
176,3593356.27
177,3696110.39
178,3807784.08
179,3926970.51
180,4021287.39
181,4117731.37
182,4229138.14
183,4846303.87
184,5575536.74
185,6365328.88
186,7113987.32
187,7589017.48
188,8045859.65
189,8711352.74
190,9347557.9
191,9877544.61
192,10266432.73
193,10511624.54
194,10636007.85
195,10629890.35
196,10561227.91
197,10475696.25
198,10403317.08
199,10340930.08
200,10310442.61
201,10320842.69
202,10322661.56
203,10264270.13
204,10176370.69
205,10098826.23
206,10018643.33
207,9976068.89
208,9982290.82
209,9990417.98
210,9948947.49
211,9899727.18
212,9869939.01
213,10173035.36
214,10595765.97
215,11123815.27
216,11642442.63
217,11958043.61
218,12289284.37
219,12760722.26
220,13148556.97
221,13486220.49
222,13768770.2
223,13983556.45
224,14101150.54
225,14128860.48
226,14143963.84
227,14160919.17
228,14189953.81
229,14234548.19
230,14290876.45
231,14332768.54
232,14356356.67
233,14367308.5
234,14388032.61
235,14420445.39
236,14459641.27
237,14528648.55
238,14574771.25
239,14615401.7
240,14660986.69
241,14704270.37
242,14775959.79
243,15136329.78
244,15541922.7
245,15975094.87
246,16382091.85
247,16651727.36
248,16925653.46
249,17305031.51
250,17624457.88
251,17797470.5
252,17932610.38
253,18021064.59
254,18056606.8
255,18055163.2
256,18052371.43
257,18070586.83
258,18100537.53
259,18104222.2
260,18118490.68
261,18100652.03
262,18076264.13
263,18032847.74
264,18013552.11
265,17975595.97
266,17913419.35
267,17866303.65
268,17822231.75
269,17780756.71
270,17746837.2
271,17729554.27
272,17719280.63
273,17780528.16
274,17873696.76
275,17977385.74
276,18088009.15
277,18151136.76
278,18228885.15
279,18362254.82
280,18366268.15
281,18368253.4
282,18367938.81
283,18362741.88
284,18346905.7
285,18336931.9
286,18315170.2
287,18280076.6
288,18245871.4
289,18210971.73
290,18186404.87
291,18160199.85
292,18138201.16
293,18105272.45
294,18055634.71
295,17995718.09
296,17927418.41
297,17868561.8
298,17817083.27
